Introduction	引言
The simplest regression model is the static equation	最简单的回归模型是静态方程
If this regression is estimated it is important that the standard errors be calculated using the Newey-West method to account for serial correlation in the error	如果估计此回归，则重要的是使用 Newey-West 方法计算标准误差，以考虑误差中的序列相关性
A model which allows the regressor to have impact over several periods is called a distributed lag (DL) model	允许自变量在多个时期内产生影响的模型称为分布式滞后 (DL) 模型
It is also necessary to use Newey-West standard errors to account for the serial correlation	还需要使用 Newey-West 标准误差来解释序列相关性
A more complete model combines autoregressive and distributed lags	更完整的模型结合了自回归和分布式滞后
This is called an autoregressive distributed lag (AR-DL) model	这称为自回归分布式滞后 (AR-DL) 模型
In an AR-DL specification the long-run multiplier is	在 AR-DL 设定中，长期乘数为
which is a nonlinear function of the coefficients	这是系数的非线性函数
Time Trends	时间趋势
Many economic time series have means which change over time	许多经济时间序列都具有随时间变化的均值
The trend component is often modeled as a linear function in the time index	趋势成分通常被建模为时间指数中的线性函数
or a quadratic function in time	或时间的二次函数
These models are typically not thought of as being literally true but rather as useful approximations	这些模型通常不被认为是字面上真实的，而是被认为是有用的近似值
Consequently these should not be interpreted outside of how the time index is defined	因此，不应在时间标引的定义方式之外对这些进行解释
One traditional way of dealing with time trends is to "detrend" the data	处理时间趋势的一种传统方法是对数据进行“去趋势化”
the coefficients are estimated by least squares	系数通过最小二乘法估计
More intricate methods can be used but they have a similar flavor	可以使用更复杂的方法，但它们具有相似的味道
To understand the properties of the detrending method we can apply an asymptotic approximation	为了理解去趋势方法的特征，我们可以应用渐近近似
The rates of convergence change but this does not affect anything of practical importance	收敛速度发生了变化，但这并不影响任何具有实际意义的事情
Let us demonstrate that the least squares estimator of the coefficients in (14.57) is consistent	让我们证明 (14.57) 中系数的最小二乘估计是一致的
We need to study the behavior of the sums in the design matrix	我们需要研究设计矩阵中总和的行为
An alternative is to include a time trend in the estimated regression	另一种方法是在估计的回归中包含时间趋势
Estimation by least squares is equivalent to estimation after linear detrending by the FWL theorem	通过最小二乘估计相当于通过 FWL 定理线性去趋势后的估计
Inclusion of a linear (and possibly quadratic) time trend in a regression model is typically the easiest method to incorporate time trends	在回归模型中包含线性（可能是二次）时间趋势通常是合并时间趋势的最简单方法
We illustrate the models described in the previous section using a classical Phillips curve for inflation prediction	我们使用经典的菲利普斯曲线进行通货膨胀预测来说明上一节中描述的模型
This specification relates the change in inflation in a given period to the level of the unemployment rate in the previous period	该设定将给定时期的通货膨胀变化与上一时期的失业率水平联系起来
The least squares estimate of (14.58) using U.S. quarterly series from FRED-QD is reported in the first column of Table 14.3	表 14.3 的第一列报告了使用 FRED-QD 的美国季度序列得出的最小二乘估计值 (14.58)
The estimate is consistent with a small effect of the unemployment rate on the inflation rate but it is not precisely estimated	该估计与失业率对通货膨胀率的微小影响一致，但并未精确估计
A distributed lag (DL) model takes the form	分布式滞后 (DL) 模型采用以下形式
The least squares estimate of (14.59) is reported in the second column of Table 14.3	表 14.3 的第二列报告了最小二乘估计 (14.59)
It implies that an increase in the unemployment rate by 5 percentage points (a typical recession) decreases the long-run annual inflation rate by about a half of a percentage point	这意味着失业率上升 5 个百分点（典型的衰退）会使长期年通胀率降低约半个百分点
An AR-DL takes the form	AR-DL 采用以下形式
The point estimate of the long-run multiplier is also nearly identical but with a smaller standard error	长期乘数的点估计也几乎相同，但标准误差较小
Granger Causality	格兰杰因果关系
This definition of causality was developed by Granger (1969) and Sims (1972)	因果关系的定义是由 Granger (1969) 和 Sims (1972) 提出的
The reason why we call this "Granger causality" rather than "causality" is because this is not a structural definition	我们之所以称其为“格兰杰因果关系”而不是“因果关系”，是因为这不是一个结构性定义
An alternative label is "predictive causality"	另一个标签是“预测因果关系”
Table 14.3: Phillips Curve Regressions	表 14.3：菲利普斯曲线回归
The definition can alternatively be written in terms of conditional expectations rather than projections	该定义也可以用条件期望而不是预测来编写
Granger causality can be tested in AR-DL models using a standard Wald or F test	可以使用标准 Wald 或 F 检验在 AR-DL 模型中检验 Granger 因果关系
The test rejects the hypothesis (and thus finds evidence of Granger causality) if the statistic is larger than the critical value (if the p-value is small) and fails to reject the hypothesis (and thus finds no evidence of causality) if the statistic is smaller than the critical value	小于临界值
This is statistically significant at any conventional level so we can conclude that the unemployment rate has a predictively causal impact on inflation	这在任何传统水平上都具有统计显著性，因此我们可以得出结论，失业率对通货膨胀具有预测性因果影响
Granger causality should not be interpreted structurally outside the context of an economic model	格兰杰因果关系不应在经济模型的背景下进行结构性解释
The coefficients on the lagged stock price growth rates are small in magnitude but the first lag appears statistically significant	滞后股价增长率的系数幅度很小，但第一次滞后似乎具有统计显著性
Thus stock prices move in advance of actual economic activity but are not necessarily structurally causal	因此，股票价格的变动先于实际经济活动，但不一定具有结构性因果关系
Testing for Serial Correlation in Regression Models	回归模型中的序列相关性检验
Consider the problem of testing for omitted serial correlation in an AR-DL model such as	考虑在 AR-DL 模型中检验遗漏的序列相关性的问题，例如
Therefore this approach is not recommended	因此不推荐这种方法
The second approach is to combine equations (14.61)-(14.62) into a single model and execute the test as a restriction within this model	第二种方法是将方程（14.61）-（14.62）组合成单个模型，并作为该模型内的约束执行检验
This test has a conventional asymptotic distribution so is simple to implement	该检验具有传统的渐近分布，因此易于实现
The basic message is that testing for omitted serial correlation can be implement in regression models by estimating and contrasting different dynamic specifications	基本信息是，通过估计和对比不同的动态设定，可以在回归模型中实现对遗漏序列相关性的检验
Bootstrap for Time Series	时间序列的 Bootstrap
Recall that the bootstrap approximates the sampling distribution of estimators and test statistics by the empirical distribution of the observations	回想一下，引导程序通过观测的经验分布来近似估计量的抽样分布和检验统计量
For dependent observations alternative methods should be used	对于相关观测，应使用替代方法
Bootstrapping for time series is considerably more complicated than the cross section case	时间序列的引导比横截面情况复杂得多
One of the challenges is that theoretical justifications are more difficult to establish than in the independent observation case	挑战之一是理论依据比独立观测案例更难建立
In this section we describe the most popular methods to implement bootstrap resampling for time series data	在本节中，我们将描述对时间序列数据实现引导重采样的最流行的方法
Recursive Bootstrap	递归引导程序
Another limitation is that it is inappropriate for AR-DL models unless the conditioning variables are strictly exogenous	另一个局限是它不适合 AR-DL 模型，除非条件变量是严格外生的
There are alternative versions of this basic method	这种基本方法还有其他版本
This can improve precision when sample sizes are small but otherwise is not recommended	当样本量较小时，这可以提高精度，但在其他情况下不建议这样做
Pairwise Bootstrap	成对引导
This method may be useful when we are interested in the distribution of nonlinear functions of the coefficient estimates and therefore desire an improvement on the Delta Method approximation	当我们对系数估计的非线性函数的分布感兴趣并因此希望对 Delta 方法近似进行改进时，此方法可能很有用
Fixed Design Residual Bootstrap	固定设计残差自举
This construction is similar to the pairwise bootstrap but imposes an i.i.d. error	这种结构类似于成对引导，但强加了独立同分布
Fixed Design Wild Bootstrap	固定设计狂野引导程序
This construction is similar to the pairwise and fixed design bootstrap combined with the wild bootstrap	这种结构类似于成对固定设计引导程序与狂野引导程序的结合
This imposes the conditional mean assumption on the error but allows heteroskedasticity	这对误差施加了条件均值假设，但允许异方差
Block Bootstrap	块引导程序
This construction allows for arbitrary stationary serial correlation, heteroskedasticity, and modelmisspecification	这种结构允许任意平稳序列相关、异方差和模型误设
Thus the block bootstrap is a natural generalization of the nonparametric bootstrap	因此，块引导程序是非参数引导程序的自然推广
The second equality is Markov's inequality (B.36) and the following is the triangle inequality (B.1)	第二个不等式是马尔可夫不等式（B.36），接下来是三角不等式（B.1）
Proof of Theorem 14.4 See Theorem 14.14	定理 14.4 的证明 参见定理 14.14
Proof of Theorem 14.5 Strict stationarity follows from Theorem 14.2	定理 14.5 的证明 严格平稳性由定理 14.2 得出
Proof of Theorem 14.9 We show (14.6). (14.7) follows by Markov's inequality (B.36)	定理 14.9 的证明 我们展示 (14.6)
By the triangle inequality (B.1)	由三角不等式 (B.1)
By another application of the triangle inequality and (14.63)	通过三角不等式的另一个应用和 (14.63)
By Jensen's inequality (B.27), direct calculation, and (14.64)	通过 Jensen 不等式 (B.27)，直接计算，以及 (14.64)
The approximation in (14.70) is (14.68)	(14.70) 中的近似值为 (14.68)
This is why the MDS assumption cannot be easily replaced by a milder assumption such as white noise	这就是为什么 MDS 假设不能轻易地被更温和的假设（例如白噪声）取代
which is (14.73) as claimed	正如所声称的那样，它是（14.73）
The desired relationship (14.74) holds as follows	所需的关系 (14.74) 成立如下
Consider separately the cases of real roots and complex roots	分别考虑实根和复根的情况
Using the properties of the determinant (Theorem A.1.5)	使用行列式的性质（定理 A.1.5）
Multivariate Time Series	多元时间序列
VARs were introduced to econometrics by Sims (1980)	Sims (1980) 将 VAR 引入计量经济学
Some excellent textbooks and review articles on multivariate time series include Hamilton (1994), Watson (1994), Canova (1995), Lütkepohl (2005), Ramey (2016), Stock and Watson (2016), and Kilian and Lütkepohl (2017)	关于多元时间序列的一些优秀教科书和评论文章包括 Hamilton (1994)、Watson (1994)、Canova (1995)、Lütkepohl (2005)、Ramey (2016)、Stock 和 Watson (2016) 以及 Kilian 和 Lütkepohl (2017)
Multiple Equation Time Series Models	多方程时间序列模型
These two equations specify that each variable is a linear function of its own lag and the lag of the other variable	这两个方程指定每个变量都是其自身滞后和另一个变量滞后的线性函数
Thus a multivariate autoregression is a set of autoregressive distributed lag models	因此，多元自回归是一组自回归分布式滞后模型
The above derivation assumed a single lag	上述推导假设有一个滞后
Furthermore, there is nothing special about the two variable case	此外，两个变量的情况没有什么特别的
The VAR model falls in the class of multivariate regression models studied in Chapter 11	VAR 模型属于第 11 章中研究的多元回归模型类别
In the following several sections we take a step back and provide a rigorous foundation for vector autoregressions for stationary time series	在下面的几个部分中，我们退后一步，为平稳时间序列的向量自回归提供严格的基础
The uncorrelatedness of the projection errors is a property of a multivariate white noise process	投影误差的不相关性是多元白噪声过程的一个特征
Multivariate Wold Decomposition	多元世界分解
We can write the moving average representation using the lag operator notation as	我们可以使用滞后运算符符号将移动平均表示形式写为
The series in (15.4) is convergent	(15.4) 中的级数是收敛的
For a proof see Section 2 of Meyer and Kreiss (2015)	证明请参见 Meyer 和 Kreiss (2015) 的第 2 节
We can also provide an analog of Theorem 14.6	我们还可以提供定理 14.6 的模拟
While there is not a closed-form solution there is a simple recursion by which the coefficients may be calculated	虽然没有封闭式解决方案，但可以通过简单的递归来计算系数
Impulse Response	脉冲响应
Recall the multivariate Wold representation	回想一下多元 Wold 表示
Here we have defined the impulse response in terms of the linear projection operator	这里我们根据线性投影算子定义了脉冲响应
In a linear vector autoregression the impulse response function is symmetric in negative and positive innovations	在线性向量自回归中，脉冲响应函数在负创新和正创新中是对称的
The impulse response functions can be scaled as desired	脉冲响应函数可以根据需要缩放
In this latter case impulse response functions can be interpreted as responses due to a "typical" sized (one standard deviation) innovation	在后一种情况下，脉冲响应函数可以解释为由于“典型”大小（一个标准误差）创新而产生的响应
Closely related to the IRF is the cumulative impulse response function (CIRF) defined as	与 IRF 密切相关的是累积脉冲响应函数 (CIRF)，定义为
This is the full (summed) effect of the innovation over all time	这是历年来创新的全部（总和）效果
In fact, in this context many authors will label the cumulative impulse response as "the impulse response"	事实上，在这种情况下，许多作者将累积脉冲响应标记为“脉冲响应”
VAR(1) Model	VAR(1)模型
The first-order vector autoregressive process, denoted VAR(1), is	一阶向量自回归过程，表示为 VAR(1)，为
The proof is given in Section 15.31	第 15.31 节给出了证明
We can write the model using the lag operator notation as	我们可以使用滞后运算符符号将模型编写为
The condition for stationarity of the system can be expressed as a restriction on the roots of the determinantal equation of the autoregressive polynomial	系统平稳性的条件可以表示为对自回归多项式行列式方程根的约束
Regression Notation	回归符号
This is a multivariate regression model	这是一个多元回归模型
Estimation	预估
From Chapter 11 the systems estimator of a multivariate regression is least squares	从第 11 章开始，多元回归的系统估计量是最小二乘法
VAR models can be estimated in Stata using the var command	可以使用 var 命令在 Stata 中估计 VAR 模型
In words, these are the correct lags and there is no omitted nonlinearity	换句话说，这些是正确的滞后并且没有遗漏非线性
If we further strengthen the MDS assumption to conditional homoskedasticity	如果我们进一步将 MDS 假设强化为条件同方差
then the asymptotic variance simplifies as	那么渐近方差简化为
In contrast, if the VAR(p) is an approximation then the MDS assumption is not appropriate	相反，如果 VAR(p) 是近似值，则 MDS 假设不合适
In this case the asymptotic distribution can be derived under mixing conditions	在这种情况下，可以在混合条件下导出渐近分布
This theorem does not require that the true process is a VAR	该定理不要求真实过程是 VAR
The theorem shows that the coefficient estimators are asymptotically normal with a covariance matrix which takes a "long-run" sandwich form	该定理表明，系数估计量对于采用“长期”三明治形式的协方差矩阵是渐近正态的
Estimators adjusted for degree-of-freedom can also be used though there is no established finite-sample justification	尽管没有确定的有限样本合理性，但也可以使用针对自由度进行调整的估计量
The heteroskedasticity-robust estimator equals	异方差稳健估计量等于
Traditional textbooks have only used the homoskedastic variance estimation formula (15.9) and consequently existing software follows the same convention	传统教科书仅使用同方差估计公式（15.9），因此现有软件遵循相同的约定
The Newey-West estimator (15.11) is not commonly used for VAR models	Newey-West 估计量 (15.11) 并不常用于 VAR 模型
Asymptotic approximations tend to be much less accurate under time series dependence than for independent observations	与独立观测相比，渐近近似在时间序列依赖性下往往不太准确
Selection of Lag Length in an VAR	VAR 中滞后长度的选择
The log determinant is the criterion from the multivariate normal likelihood	对数行列式是多元正态似然的标准
In Stata the AIC for a set of estimated VAR models can be compared using the varsoc command	在 Stata 中，可以使用 varsoc 命令比较一组估计 VAR 模型的 AIC
This does not affect the ranking of the models but makes the differences between models appear misleadingly small	这不会影响模型的排名，但会使模型之间的差异显得很小，从而产生误导
We estimate a three-variable system which is a simplified version of a model often used to study the impact of monetary policy	我们估计一个三变量系统，这是经常用于研究货币政策影响的模型的简化版本
The coefficient estimates and (homoskedastic) standard errors for the VAR(6) are reported in Table 15.1	表 15.1 报告了 VAR(6) 的系数估计值和（同方差）标准误差
Examining the coefficients in the table we can see that GDP displays a moderate degree of serial correlation and shows a large response to the federal funds rate, especially at lags 2 and 3	检查表中的系数，我们可以看到 GDP 显示出中等程度的序列相关性，并对联邦基金利率显示出较大的响应，尤其是在滞后 2 和 3 时
Because of this difficulty it is typical to focus on other representations of the coefficient estimates such as impulse responses which we discuss in the upcoming sections	由于这一困难，通常将重点放在系数估计的其他表示上，例如我们将在接下来的部分中讨论的脉冲响应
Predictive Regressions	预测回归
In some contexts (including prediction) it is useful to consider models where the dependent variable is dated multiple periods ahead of the right-hand-side variables	在某些情况下（包括预测），考虑因变量的日期早于右侧变量多个周期的模型是有用的
There are several implications of this theorem	这个定理有几个含义
The predictive regression (15.12) can be estimated by least squares	预测回归（15.12）可以通过最小二乘法来估计
For a distributional theory we can apply Theorem 15.11	对于分布理论，我们可以应用定理 15.11
Impulse Response Estimation	脉冲响应估计
Reporting of impulse response estimates is one of the most common applications of vector autoregressive modeling	脉冲响应估计报告是矢量自回归建模最常见的应用之一
In this section we review the most common estimator based on the estimated VAR parameters	在本节中，我们将回顾基于估计 VAR 参数的最常见估计量
Within a VAR(p) model the impulse responses are determined by the VAR coefficients	在 VAR(p) 模型中，脉冲响应由 VAR 系数确定
This is the the most commonly used method for impulse response estimation and it is the method implemented in standard packages	这是脉冲响应估计最常用的方法，并且是在标准包中实现的方法
These can be used to form asymptotic confidence intervals for the impulse responses	这些可用于形成脉冲响应的渐近置信区间
The asymptotic approximations, however, can be poor	然而，渐近近似可能很差
Consequently, asymptotic approximations are less popular than bootstrap approximations	因此，渐近逼近不如自举逼近受欢迎
A disadvantage of this estimator is that it is a highly nonlinear function of the VAR coefficient estimators	该估计量的缺点是它是 VAR 系数估计量的高度非线性函数
Impulse response functions can be calculated and displayed in Stata using the irf command	可以使用 irf 命令在 Stata 中计算并显示脉冲响应函数
Better options such as the bias-corrected percentile confidence interval are not provided as options	未提供更好的选项（例如偏误校正百分位数置信区间）
Local Projection Estimator	局部投影估计量
Jordà (2005) observed that the impulse response can be estimated by a least squares predictive regression	Jordà (2005) 观察到脉冲响应可以通过最小二乘预测回归来估计
The method is as follows	方法如下
Newey-West methods must be used for calculation of asymptotic standard errors since the regression errors are serially correlated	由于回归误差是序列相关的，因此必须使用 Newey-West 方法来计算渐近标准误差
Jordà (2005) speculates that the local projection estimator will be less sensitive to misspecification since it is a straightforward linear estimator	Jordà (2005) 推测局部投影估计量对误设不太敏感，因为它是一个简单的线性估计量
Without a formal theory it is difficult to know which estimator is more robust than the other	如果没有正式的理论，就很难知道哪个估计量比另一个更稳健
An advantage of the local projection method is that it is a linear estimator of the impulse response and thus likely to have a better-behaved sampling distribution	局部投影方法的优点是它是脉冲响应的线性估计量，因此可能具有更好的采样分布
A disadvantage is that the method relies on a regression (15.12) that has serially correlated errors	缺点是该方法依赖于具有序列相关误差的回归（15.12）
Local projection estimators tend to be less smooth and more erratic than those produced by the conventional estimator reflecting a possible lack of precision	与传统估计量产生的估计量相比，局部投影估计量往往不太平滑且更不稳定，这反映出可能缺乏精度
Regression on Residuals	残差回归
This idea originated with Durbin (1960)	这个想法起源于 Durbin (1960)
This is a two-step estimator with generated regressors. (See Section 12.26.) The impulse response estimators are consistent and asymptotically normal but with a non-standard covariance matrix due to the two-step estimation	这是一个带有生成自变量的两步估计量
Conventional, robust, and Newey-West standard errors do not account for this without modification	如果不进行修改，传统的、稳健的和 Newey-West 标准误差无法解释这一点
Chang and Sakata (2007) proposed a simplified version of the Durbin regression	Chang 和 Sakata (2007) 提出了 Durbin 回归的简化版本
Similar to the Durbin regression the Chang-Sakata estimator is a two-step estimator with a generated regressor	与 Durbin 回归类似，Chang-Sakata 估计量是带有生成自变量的两步估计量
Chang and Sakata (2007) also point out the following implication of the FWL theorem	Chang 和 Sakata (2007) 还指出了 FWL 定理的以下含义
Thus the Chang-Sakata estimator is similar to a local projection estimator	因此，Chang-Sakata 估计量类似于局部投影估计量
Orthogonalized Shocks	正交冲击
We can use the impulse response function to examine how the innnovations impact the time-paths of the variables	我们可以使用脉冲响应函数来检查创新如何影响变量的时间路径
The natural solution is to orthogonalize the innovations so that they are uncorrelated and then view the orthogonalized errors as the fundamental "shocks"	自然的解决方案是对创新进行正交化，使它们不相关，然后将正交化误差视为根本的“冲击”
with non-negative diagonal elements	具有非负对角线元素
Equivalently, the innovations are related to the orthogonalized shocks by the equations	同样，创新与方程的正交冲击有关
When using the Cholesky decomposition the recursive structure is determined by the ordering of the variables in the system	当使用 Cholesky 分解时，递归结构由系统中变量的顺序确定
We will return to this issue later	我们稍后会回到这个问题
Finally, we mention that the system (15.15) is equivalent to the system	最后，我们提到系统（15.15）相当于系统
The representation (15.15) is more convenient, however, for most of our purposes	然而，对于我们的大多数目的来说，表示（15.15）更方便
Orthogonalized Impulse Response Function	正交脉冲响应函数
We can write the multivariate Wold representation as	我们可以将多元 Wold 表示写为
The cumulative orthogonalized impulse response function (COIRF) is	累积正交脉冲响应函数 (COIRF) 为
Orthogonalized Impulse Response Estimation	正交脉冲响应估计
We first estimate the VAR(p) model by least squares	我们首先通过最小二乘法估计 VAR(p) 模型
As discussed earlier, the asymptotic approximations can be quite poor	如前所述，渐近近似可能非常差
Consequently bootstrap approximations are more widely used than asymptotic methods	因此，自举近似比渐近方法使用更广泛
Orthogonalized impulse response functions can be displayed in Stata using the irf command	正交脉冲响应函数可以使用 irf 命令在 Stata 中显示
The bootstrap confidence intervals are calculated using the normal approximation bootstrap confidence interval	自举置信区间是使用正态近似自举置信区间计算的
To illustrate we use the three-variable system from Section 15.13	为了说明这一点，我们使用 15.13 节中的三变量系统
We use the estimated VAR(6) and calculate the orthogonalized impulse response functions using the standard VAR estimator	我们使用估计的 VAR(6) 并使用标准 VAR 估计量计算正交脉冲响应函数
Forecast Error Decomposition	预测误差分解
An alternative tool to investigate an estimated VAR is the forecast error decomposition which decomposes multi-step forecast error variances by the component shocks	研究估计 VAR 的另一种工具是预测误差分解，它通过成分冲击分解多步预测误差方差
The forecast error decomposition indicates which shocks contribute towards the fluctuations of each variable in the system	预测误差分解表明哪些冲击导致系统中每个变量的波动
Figure 15.1: Response of GDP Growth to Orthogonalized Fed Funds Shock	图 15.1：GDP 增长对正交联邦基金冲击的反应
It is defined as follows	它的定义如下
The variance of this forecast error is	该预测误差的方差为
A forecast error decomposition requires orthogonalized innovations	预测误差分解需要正交创新
The forecast error decomposition can be calculated and displayed in Stata using the irf command	可以使用 irf 命令在 Stata 中计算并显示预测误差分解
Identification of Recursive VARs	递归 VAR 的识别
As we have discussed, a common method to orthogonalize the VAR errors is the lower triangular Cholesky decomposition which implies a recursive structure	正如我们所讨论的，正交化 VAR 误差的常用方法是下三角 Cholesky 分解，它意味着递归结构
The ordering must be selected by the user; there is no data-dependent choice	订购必须由用户选择；不存在依赖于数据的选择
In order for impulse responses and forecast error decompositions to be interpreted causally the orthogonalization must be identified by the user based on a structural economic argument	为了对脉冲响应和预测误差分解进行因果解释，用户必须根据结构性经济论证来识别正交化
One approach is to order first the variables which are believed to be contemporaneously affected by the fewest number of shocks	一种方法是首先对被认为同时受到最少冲击影响的变量进行排序
By listing the federal funds rate last the model allows monetary policy to respond within a period to contemporeneous information about output and prices	通过将联邦基金利率列在最后，该模型允许货币政策在一段时间内对有关产出和价格的同期信息做出反应
In general, this line of reasoning suggests that production measures should be listed first, goods prices second, and financial prices last	总的来说，这种推理表明应该首先列出生产指标，其次列出商品价格，最后列出金融价格
In any situation it is best to be explicit about your choice and reasoning	在任何情况下，最好明确你的选择和推理
Returning to the empirical illustration it is fairly conventional to order the fed funds rate last	回到实证例证，将联邦基金利率放在最后是相当传统的
This is the ordering used in our example	这是我们示例中使用的顺序
In contrast, suppose that the aggregate supply curve is perfectly elastic in the short run	相反，假设总供给曲线在短期内是完全弹性的
If the choice between perfectly elastic and perfectly inelastic aggregate supply is not credible then the supply and demand shocks cannot be separately identified based on ordering alone	如果完全弹性和完全非弹性总供给之间的选择不可信，则不能仅根据排序来单独识别供给和需求冲击
The remaining impulse responses (responses to GDP and inflation shocks), however, will differ across these two orderings	然而，其余的脉冲响应（对 GDP 和通胀冲击的响应）在这两种排序中会有所不同
Oil Price Shocks	油价冲击
To further illustrate the identification of impulse response functions by recursive structural assumptions we repeat here some of the analysis from Kilian (2009)	为了进一步说明通过递归结构假设来识别脉冲响应函数，我们在这里重复 Kilian (2009) 的一些分析
The goal is to determine how oil prices respond to economic shocks and how the responses differ by the type of shock	目标是确定油价如何应对经济冲击以及不同冲击类型的反应有何不同
This data set is posted on the textbook webpage as Kilian2009	该数据集在教科书网页上发布为 Kilian2009
Kilian argues that these three variables are determined by three economic shocks: oil supply, aggregate demand, and oil demand	基利安认为，这三个变量是由三种经济冲击决定的：石油供应、总需求和石油需求
Kilian also argues that oil demand shocks are primarily due to the precautionary demand for oil driven by uncertainty about future oil supply shortfalls	基利安还认为，石油需求冲击主要是由于未来石油供应短缺的不确定性所驱动的预防性石油需求
To identify the shocks Kilian makes the following exclusion restrictions	为了确定冲击，Kilian 做出了以下排除约束
Crude oil prices, however, are allowed to respond simultaneously to all three shocks	然而，原油价格可以同时对这三种冲击做出反应
Kilian's identification strategy is similar to that described in the previous section for the simple aggregate demand/aggregate supply model	Kilian 的识别策略与上一节中描述的简单总需求/总供给模型类似
While much economic activity is pre-planned and hence sluggish to respond, some economic activity (recreational driving, for example) may immediately respond to price changes	虽然许多经济活动是预先计划的，因此反应缓慢，但某些经济活动（例如休闲驾驶）可能会立即对价格变化做出反应
Kilian estimates the three-variable VAR using 24 lags and calculates the orthogonalized impulse response functions using the ordering implied by these assumptions	Kilian 使用 24 个滞后估计三变量 VAR，并使用这些假设隐含的顺序计算正交脉冲响应函数
Notice that both figures have been displayed using the same y-axis scalings so that the figures are comparable	请注意，两个数字均使用相同的 y 轴比例显示，因此这些数字具有可比性
What is noticeable about the figures is how differently crude oil prices respond to the two shocks	这些数据值得注意的是原油价格对这两种冲击的反应有何不同
Presumaby, this is because economic activity relies on crude oil and output growth is positively serially correlated	据推测，这是因为经济活动依赖原油且产出增长呈正序列相关
The Kilian (2009) paper is an excellent example of how recursive orderings can be used to identify an orthogonalized VAR through a careful discussion of the causal system and the use of monthly observations	Kilian (2009) 的论文是一个很好的例子，它展示了如何通过仔细讨论因果系统和使用每月观测结果，使用递归排序来识别正交化 VAR
Structural VARs	结构性VAR
Figure 15.2: Response of Oil Prices to Orthogonalized Shocks	图 15.2：油价对正交冲击的反应
In this section we review SVARs based on short-run restrictions	在本节中，我们根据短期约束回顾 SVAR
The system as written is under-identified	所写的系统未得到充分识别
We will illustrate by using a simplified version of the model employed by Blanchard and Perotti (2002) who were interested in decomposing the effects of government spending and taxes on GDP	我们将使用 Blanchard 和 Perotti (2002) 使用的模型的简化版本进行说明，他们对分解政府支出和税收对 GDP 的影响感兴趣
We just described six restrictions while nine are required for identification	我们刚刚描述了六项约束，而识别则需要九项约束
In general, either of the two simpler structures are simpler to compute and interpret	一般来说，这两种更简单的结构都更容易计算和解释
Taking the variance of the variables on each side of (15.21) we find	取 (15.21) 两侧变量的方差，我们发现
This is a system of quadratic equations in the free parameters	这是自由参数的二次方程组
The latter is appropriate when the model is correctly specified (including normality) but otherwise an unclear choice	当模型被正确指定（包括正态性）但否则选择不明确时，后者是合适的
Given the parameter estimates the structural impulse response function is	给定参数估计，结构脉冲响应函数为
The structural impulse responses are nonlinear functions of the VAR coefficient and covariance matrix estimators so by the delta method are asymptotically normal	结构脉冲响应是 VAR 系数和协方差矩阵估计量的非线性函数，因此通过 Delta 方法是渐近正态的
As for orthogonalized impulse responses the asymptotic normal approximation is unlikely to be a good approximation so bootstrap methods are an attractive alternative	对于正交化脉冲响应，渐近正态近似不太可能是一个好的近似，因此自举方法是一个有吸引力的替代方案
Structural VARs should be interpreted similarly to instrumental variable estimators	结构 VAR 的解释应类似于工具变量估计量
Their interpretation relies on valid exclusion restrictions which can only be justified by external information	他们的解释依赖于有效的排除约束，而这些约束只能通过外部信息来证明
We replicate a simplified version of Blanchard-Perotti (2002)	我们复现了 Blanchard-Perotti (2002) 的简化版本
The estimated impulse responses are similar to those reported by Blanchard-Perotti	估计的脉冲响应与 Blanchard-Perotti 报告的类似
Figure 15.3: Response of GDP to Government Spending and Tax Shocks	图 15.3：GDP 对政府支出和税收冲击的反应
Increased spending has a positive effect on GDP while increased taxes has a negative effect	增加支出对GDP有积极影响，而增加税收则有消极影响
Structural vector autoregressions can be estimated in Stata using the svar command	结构向量自回归可以在 Stata 中使用 svar 命令进行估计
The same limitations for standard error and confidence interval construction in Stata hold for structural impulse responses as for non-structural impulse responses	Stata 中的标准误差和置信区间构造对于结构脉冲响应和非结构脉冲响应具有相同的局限
Identification of Structural VARs	结构性 VAR 的识别
It is easy to write down restrictions which satisfy the order condition but do not produce an identified system	很容易写下满足订单条件但不产生识别系统的约束
It is difficult to see if the system is identified simply by looking at the restrictions (except in the recursive case, which is relatively straightforward to identify)	仅仅通过查看约束很难看出系统是否被识别（除了递归情况，它相对容易识别）
We can identify the equations sequentially, one at a time, or in blocks, using the metaphor of instrumental variables	我们可以使用工具变量的比喻，按顺序、一次一个或分块地识别方程
The general technique is as follows	一般技术如下
Take the equations one at a time and ask if they can be estimated by instrumental variables using the excluded variables as instruments	一次提出一个方程，并询问是否可以使用排除的变量作为工具，通过工具变量来估计它们
Once an equation has been verified as identified then its shock is identified and can be used as an instrument since it is uncorrelated with the shocks in the other equations	一旦方程被验证为确定的，那么它的冲击就被确定并且可以用作工具，因为它与其他方程中的冲击不相关
In this example take the equations as ordered	在此示例中，按顺序取方程
We deduce that the system is identified	我们推断系统已被识别
Consider another example based on Keating (1992)	考虑另一个基于 Keating (1992) 的例子
where the four shocks are "aggregate supply", "money supply", "money demand", and "I-S"	其中四种冲击是“总供给”、“货币供给”、“货币需求”和“I-S”
